# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	188	111.43422	607.71506	0.46299	0.92845	0.01027	0.00190	0.07899	0.01298	0.00214	0.92101	0.01298	0.00214	0.11233	0.01683	0.00244	0.88767	0.01683	0.00244	0.11285	0.01698	0.00245	0.28945	0.12975	0.46299
Rural	91	89.96861	414.27389	0.38227	0.92876	0.01052	0.00193	0.07917	0.01330	0.00217	0.92083	0.01330	0.00217	0.11129	0.01709	0.00246	0.88871	0.01709	0.00246	0.11193	0.01728	0.00247	0.26910	0.13420	0.38227
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	188	352769	2835	2744	0.77785	120.59160	510.53017	0.03804	0.99943	0.00012	0.00002	0.00063	0.00015	0.00002	0.99937	0.00015	0.00002	0.00090	0.00024	0.00003	0.99910	0.00024	0.00003	0.00091	0.00024	0.00003	0.00233	0.00171	0.03804
Rural	91	352769	2835	2647	0.75035	98.32282	343.95569	0.03123	0.99943	0.00012	0.00002	0.00064	0.00016	0.00002	0.99936	0.00016	0.00002	0.00089	0.00024	0.00003	0.99911	0.00024	0.00003	0.00090	0.00024	0.00003	0.00216	0.00166	0.03123
