# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
1	528	2.39273	1.71374	0.00566	0.97163	0.00988	0.00043	0.02957	0.01781	0.00058	0.97043	0.01781	0.00058	0.03537	0.01349	0.00050	0.96463	0.01349	0.00050	0.04679	0.02581	0.00069	0.03010	0.03196	0.00566
6	576	2.66349	1.95325	0.00586	0.96835	0.01047	0.00043	0.03069	0.01703	0.00055	0.96931	0.01703	0.00055	0.04034	0.01473	0.00051	0.95966	0.01473	0.00051	0.05213	0.02700	0.00069	0.03893	0.03926	0.00586
72	457	2.69217	2.07594	0.00637	0.97188	0.00931	0.00043	0.02759	0.01496	0.00054	0.97241	0.01496	0.00054	0.03604	0.01324	0.00051	0.96396	0.01324	0.00051	0.04583	0.02331	0.00067	0.03352	0.03477	0.00637
23	103	1.00000	0.00000	0.00000	0.98384	0.00782	0.00052	0.03232	0.03127	0.00104	0.96768	0.03127	0.00104	0.01616	0.00782	0.00052	0.98384	0.00782	0.00052	0.03232	0.03127	0.00104	0.00000	0.00000	0.00000
62	475	2.56492	1.98242	0.00623	0.97003	0.01002	0.00044	0.03017	0.01680	0.00057	0.96983	0.01680	0.00057	0.03812	0.01407	0.00052	0.96188	0.01407	0.00052	0.04917	0.02555	0.00071	0.03368	0.03554	0.00623
45	96	1.00000	0.00000	0.00000	0.98375	0.00786	0.00050	0.03249	0.03144	0.00101	0.96751	0.03144	0.00101	0.01625	0.00786	0.00050	0.98375	0.00786	0.00050	0.03249	0.03144	0.00101	0.00000	0.00000	0.00000
16	99	1.00000	0.00000	0.00000	0.98541	0.00708	0.00063	0.02917	0.02832	0.00127	0.97083	0.02832	0.00127	0.01459	0.00708	0.00063	0.98541	0.00708	0.00063	0.02917	0.02832	0.00127	0.00000	0.00000	0.00000
46	426	2.43023	1.84583	0.00601	0.97344	0.00920	0.00042	0.02717	0.01597	0.00056	0.97283	0.01597	0.00056	0.03332	0.01269	0.00050	0.96668	0.01269	0.00050	0.04354	0.02375	0.00068	0.02901	0.03041	0.00601
61	437	2.02586	0.70500	0.00369	0.97211	0.01022	0.00044	0.03303	0.02180	0.00065	0.96697	0.02180	0.00065	0.03379	0.01338	0.00051	0.96621	0.01338	0.00051	0.04667	0.02766	0.00073	0.02211	0.02593	0.00369
68	420	2.55369	2.00528	0.00631	0.97484	0.00850	0.00041	0.02573	0.01458	0.00054	0.97427	0.01458	0.00054	0.03206	0.01201	0.00049	0.96794	0.01201	0.00049	0.04119	0.02164	0.00066	0.02796	0.02994	0.00631
29	210	1.77697	0.58992	0.00370	0.97568	0.00920	0.00046	0.02928	0.01961	0.00067	0.97072	0.01961	0.00067	0.02905	0.01179	0.00052	0.97095	0.01179	0.00052	0.04083	0.02518	0.00076	0.01826	0.02068	0.00370
14	596	2.67745	2.04944	0.00623	0.96824	0.01041	0.00044	0.02826	0.01440	0.00052	0.97174	0.01440	0.00052	0.04068	0.01472	0.00053	0.95932	0.01472	0.00053	0.05136	0.02537	0.00069	0.04176	0.04166	0.00623
42	282	1.57712	0.24406	0.00227	0.97784	0.00888	0.00043	0.03149	0.02366	0.00071	0.96851	0.02366	0.00071	0.02557	0.01085	0.00048	0.97443	0.01085	0.00048	0.03858	0.02644	0.00075	0.01064	0.01381	0.00227
3	301	2.05965	1.11491	0.00488	0.97720	0.00831	0.00042	0.02720	0.01766	0.00061	0.97280	0.01766	0.00061	0.02795	0.01105	0.00049	0.97205	0.01105	0.00049	0.03844	0.02301	0.00070	0.01864	0.02100	0.00488
31	474	2.63196	1.93917	0.00602	0.96994	0.00984	0.00043	0.02841	0.01484	0.00053	0.97159	0.01484	0.00053	0.03863	0.01394	0.00051	0.96137	0.01394	0.00051	0.04925	0.02475	0.00068	0.03786	0.03788	0.00602
15	293	2.02225	1.12408	0.00498	0.97359	0.00951	0.00046	0.02838	0.01780	0.00063	0.97162	0.01780	0.00063	0.03240	0.01263	0.00053	0.96760	0.01263	0.00053	0.04375	0.02527	0.00075	0.02594	0.02771	0.00498
9	194	1.44875	0.24738	0.00245	0.97847	0.00867	0.00046	0.02978	0.02236	0.00074	0.97022	0.02236	0.00074	0.02480	0.01056	0.00051	0.97520	0.01056	0.00051	0.03764	0.02606	0.00079	0.01178	0.01390	0.00245
11	502	2.18928	1.19311	0.00479	0.97256	0.00978	0.00043	0.02767	0.01657	0.00056	0.97233	0.01657	0.00056	0.03381	0.01310	0.00050	0.96619	0.01310	0.00050	0.04496	0.02507	0.00069	0.02912	0.03066	0.00479
64	355	1.90813	0.68717	0.00377	0.97508	0.00899	0.00043	0.03005	0.01942	0.00063	0.96995	0.01942	0.00063	0.03062	0.01207	0.00050	0.96938	0.01207	0.00050	0.04213	0.02481	0.00072	0.01967	0.02285	0.00377
69	366	1.53981	0.24842	0.00226	0.97651	0.00945	0.00044	0.03518	0.02695	0.00075	0.96482	0.02695	0.00075	0.02700	0.01146	0.00049	0.97300	0.01146	0.00049	0.04144	0.02902	0.00077	0.00939	0.01293	0.00226
35	332	2.24051	1.27164	0.00512	0.97390	0.00914	0.00043	0.02718	0.01600	0.00057	0.97282	0.01600	0.00057	0.03257	0.01248	0.00051	0.96743	0.01248	0.00051	0.04280	0.02333	0.00069	0.02655	0.02899	0.00512
8	236	1.76017	0.57318	0.00351	0.97695	0.00878	0.00043	0.02867	0.01967	0.00065	0.97133	0.01967	0.00065	0.02749	0.01121	0.00049	0.97251	0.01121	0.00049	0.03892	0.02436	0.00072	0.01605	0.01920	0.00351
5	621	2.75076	2.08331	0.00609	0.96723	0.01061	0.00043	0.03124	0.01635	0.00054	0.96876	0.01635	0.00054	0.04217	0.01513	0.00052	0.95783	0.01513	0.00052	0.05363	0.02665	0.00069	0.04087	0.04117	0.00609
74	190	1.65591	0.62318	0.00409	0.97936	0.00787	0.00046	0.02537	0.01752	0.00069	0.97463	0.01752	0.00069	0.02469	0.01009	0.00052	0.97531	0.01009	0.00052	0.03520	0.02247	0.00078	0.01579	0.01740	0.00409
41	153	1.47960	0.24959	0.00246	0.97814	0.00857	0.00046	0.03123	0.02272	0.00074	0.96877	0.02272	0.00074	0.02563	0.01075	0.00051	0.97437	0.01075	0.00051	0.03873	0.02636	0.00080	0.01125	0.01300	0.00246
MWI057	3	1.00000	0.00000	0.00000	0.99636	0.00181	0.00137	0.00728	0.00723	0.00274	0.99272	0.00723	0.00274	0.00364	0.00181	0.00137	0.99636	0.00181	0.00137	0.00728	0.00723	0.00274	0.00000	0.00000	0.00000
MWI067	146	1.00000	0.00000	0.00000	0.98347	0.00799	0.00048	0.03307	0.03198	0.00096	0.96693	0.03198	0.00096	0.01653	0.00799	0.00048	0.98347	0.00799	0.00048	0.03307	0.03198	0.00096	0.00000	0.00000	0.00000
MWI075	161	1.00000	0.00000	0.00000	0.98206	0.00865	0.00050	0.03587	0.03459	0.00101	0.96413	0.03459	0.00101	0.01794	0.00865	0.00050	0.98206	0.00865	0.00050	0.03587	0.03459	0.00101	0.00000	0.00000	0.00000
MWI007	139	1.00000	0.00000	0.00000	0.98216	0.00860	0.00050	0.03568	0.03441	0.00100	0.96432	0.03441	0.00100	0.01784	0.00860	0.00050	0.98216	0.00860	0.00050	0.03568	0.03441	0.00100	0.00000	0.00000	0.00000
MWI016	141	1.00000	0.00000	0.00000	0.98305	0.00819	0.00047	0.03391	0.03276	0.00094	0.96609	0.03276	0.00094	0.01695	0.00819	0.00047	0.98305	0.00819	0.00047	0.03391	0.03276	0.00094	0.00000	0.00000	0.00000
MWI025	142	1.00000	0.00000	0.00000	0.98321	0.00811	0.00050	0.03358	0.03246	0.00099	0.96642	0.03246	0.00099	0.01679	0.00811	0.00050	0.98321	0.00811	0.00050	0.03358	0.03246	0.00099	0.00000	0.00000	0.00000
MWI033	150	1.00000	0.00000	0.00000	0.98444	0.00754	0.00045	0.03112	0.03015	0.00090	0.96888	0.03015	0.00090	0.01556	0.00754	0.00045	0.98444	0.00754	0.00045	0.03112	0.03015	0.00090	0.00000	0.00000	0.00000
MWI041	281	1.00000	0.00000	0.00000	0.98118	0.00906	0.00046	0.03764	0.03622	0.00092	0.96236	0.03622	0.00092	0.01882	0.00906	0.00046	0.98118	0.00906	0.00046	0.03764	0.03622	0.00092	0.00000	0.00000	0.00000
MWI049	51	1.00000	0.00000	0.00000	0.98376	0.00786	0.00069	0.03249	0.03143	0.00137	0.96751	0.03143	0.00137	0.01624	0.00786	0.00069	0.98376	0.00786	0.00069	0.03249	0.03143	0.00137	0.00000	0.00000	0.00000
MWI058	212	1.00000	0.00000	0.00000	0.98215	0.00861	0.00047	0.03571	0.03443	0.00094	0.96429	0.03443	0.00094	0.01785	0.00861	0.00047	0.98215	0.00861	0.00047	0.03571	0.03443	0.00094	0.00000	0.00000	0.00000
MWI068	101	1.00000	0.00000	0.00000	0.98416	0.00767	0.00050	0.03168	0.03068	0.00100	0.96832	0.03068	0.00100	0.01584	0.00767	0.00050	0.98416	0.00767	0.00050	0.03168	0.03068	0.00100	0.00000	0.00000	0.00000
MWI076	129	1.00000	0.00000	0.00000	0.98370	0.00788	0.00048	0.03260	0.03153	0.00096	0.96740	0.03153	0.00096	0.01630	0.00788	0.00048	0.98370	0.00788	0.00048	0.03260	0.03153	0.00096	0.00000	0.00000	0.00000
26	148	1.00000	0.00000	0.00000	0.98404	0.00772	0.00047	0.03191	0.03090	0.00094	0.96809	0.03090	0.00094	0.01596	0.00772	0.00047	0.98404	0.00772	0.00047	0.03191	0.03090	0.00094	0.00000	0.00000	0.00000
MWI008	208	1.00000	0.00000	0.00000	0.98295	0.00823	0.00046	0.03409	0.03293	0.00091	0.96591	0.03293	0.00091	0.01705	0.00823	0.00046	0.98295	0.00823	0.00046	0.03409	0.03293	0.00091	0.00000	0.00000	0.00000
MWI017	285	1.00000	0.00000	0.00000	0.98131	0.00900	0.00049	0.03738	0.03599	0.00098	0.96262	0.03599	0.00098	0.01869	0.00900	0.00049	0.98131	0.00900	0.00049	0.03738	0.03599	0.00098	0.00000	0.00000	0.00000
MWI026	172	1.00000	0.00000	0.00000	0.98338	0.00803	0.00045	0.03324	0.03214	0.00090	0.96676	0.03214	0.00090	0.01662	0.00803	0.00045	0.98338	0.00803	0.00045	0.03324	0.03214	0.00090	0.00000	0.00000	0.00000
MWI034	84	1.00000	0.00000	0.00000	0.98556	0.00701	0.00058	0.02888	0.02805	0.00116	0.97112	0.02805	0.00116	0.01444	0.00701	0.00058	0.98556	0.00701	0.00058	0.02888	0.02805	0.00116	0.00000	0.00000	0.00000
MWI042	54	1.00000	0.00000	0.00000	0.98343	0.00801	0.00073	0.03315	0.03205	0.00145	0.96685	0.03205	0.00145	0.01657	0.00801	0.00073	0.98343	0.00801	0.00073	0.03315	0.03205	0.00145	0.00000	0.00000	0.00000
MWI050	69	1.00000	0.00000	0.00000	0.98401	0.00774	0.00071	0.03198	0.03096	0.00142	0.96802	0.03096	0.00142	0.01599	0.00774	0.00071	0.98401	0.00774	0.00071	0.03198	0.03096	0.00142	0.00000	0.00000	0.00000
MWI059	82	1.00000	0.00000	0.00000	0.98658	0.00653	0.00052	0.02685	0.02613	0.00105	0.97315	0.02613	0.00105	0.01342	0.00653	0.00052	0.98658	0.00653	0.00052	0.02685	0.02613	0.00105	0.00000	0.00000	0.00000
MWI069	180	1.00000	0.00000	0.00000	0.98229	0.00854	0.00047	0.03543	0.03417	0.00094	0.96457	0.03417	0.00094	0.01771	0.00854	0.00047	0.98229	0.00854	0.00047	0.03543	0.03417	0.00094	0.00000	0.00000	0.00000
MWI077	73	1.00000	0.00000	0.00000	0.98516	0.00720	0.00053	0.02969	0.02881	0.00107	0.97031	0.02881	0.00107	0.01484	0.00720	0.00053	0.98516	0.00720	0.00053	0.02969	0.02881	0.00107	0.00000	0.00000	0.00000
