# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	241	118.67407	675.71731	0.48821	0.92851	0.01024	0.00190	0.07910	0.01289	0.00213	0.92090	0.01289	0.00213	0.11228	0.01673	0.00243	0.88772	0.01673	0.00243	0.11277	0.01688	0.00244	0.28863	0.12776	0.48821
Rural	69	82.72875	362.29725	0.35748	0.92858	0.01071	0.00194	0.07901	0.01346	0.00218	0.92099	0.01346	0.00218	0.11122	0.01727	0.00247	0.88878	0.01727	0.00247	0.11192	0.01748	0.00248	0.26671	0.13645	0.35748
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	241	352769	2835	2766	0.78408	128.30655	575.34265	0.04038	0.99943	0.00012	0.00002	0.00064	0.00015	0.00002	0.99936	0.00015	0.00002	0.00090	0.00023	0.00003	0.99910	0.00023	0.00003	0.00091	0.00024	0.00003	0.00232	0.00169	0.04038
Rural	69	352769	2835	2594	0.73533	90.60787	293.95005	0.02887	0.99943	0.00013	0.00002	0.00063	0.00016	0.00002	0.99937	0.00016	0.00002	0.00089	0.00024	0.00003	0.99911	0.00024	0.00003	0.00090	0.00024	0.00003	0.00214	0.00166	0.02887
