# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	0	129.38335	149.38067	0.39182	0.82877	0.01513	0.00394	0.21131	0.02248	0.00481	0.78869	0.02248	0.00481	0.25359	0.01818	0.00432	0.74641	0.01818	0.00432	0.25457	0.01832	0.00434	0.19778	0.08387	0.39182
Rural	0	104.49024	117.76868	0.34790	0.82870	0.01555	0.00400	0.21592	0.02286	0.00485	0.78408	0.02286	0.00485	0.25285	0.01862	0.00437	0.74715	0.01862	0.00437	0.25407	0.01879	0.00439	0.17659	0.08567	0.34790
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	0	259484	973	973	0.37497	132.48094	121.66311	0.02165	0.99936	0.00017	0.00003	0.00079	0.00025	0.00003	0.99921	0.00025	0.00003	0.00095	0.00031	0.00003	0.99905	0.00031	0.00003	0.00095	0.00031	0.00003	0.00074	0.00046	0.02165
Rural	0	259484	973	973	0.37497	108.08197	79.46240	0.01750	0.99936	0.00017	0.00003	0.00081	0.00026	0.00003	0.99919	0.00026	0.00003	0.00095	0.00031	0.00003	0.99905	0.00031	0.00003	0.00095	0.00031	0.00003	0.00066	0.00044	0.01750
