process_shortreads v2.62, executed 2023-02-13 13:54:20 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plate3_run1_fastq/ -o /home/breitba1/scratch/step03_clean/plate3_r1/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-3_R1_G9_R1_val_1.fq	904553	98	0	0	0	904651
40559-3_R1_H10_R1_val_1.fq	660998	81	0	0	0	661079
40559-3_R1_H11_R1_val_1.fq	658054	96	0	0	0	658150
40559-3_R1_H1_R1_val_1.fq	490248	53	0	0	0	490301
40559-3_R1_H2_R1_val_1.fq	940393	120	0	0	0	940513
40559-3_R1_H3_R1_val_1.fq	1353323	202	0	0	0	1353525
40559-3_R1_H5_R1_val_1.fq	1159112	138	0	0	0	1159250
40559-3_R1_H6_R1_val_1.fq	989751	130	0	0	0	989881
40559-3_R1_H7_R1_val_1.fq	1100387	168	0	0	0	1100555
40559-3_R1_H8_R1_val_1.fq	1479079	165	0	0	0	1479244
40559-3_R1_H9_R1_val_1.fq	904202	127	0	0	0	904329
40559-3_R2_A10_R2_val_2.fq	1404086	82	0	0	0	1404168
40559-3_R2_A11_R2_val_2.fq	1561102	113	0	0	0	1561215
40559-3_R2_A12_R2_val_2.fq	1227148	64	0	0	0	1227212
40559-3_R2_A1_R2_val_2.fq	998437	76	0	0	0	998513
40559-3_R2_A2_R2_val_2.fq	856399	51	0	0	0	856450
40559-3_R2_A3_R2_val_2.fq	1144049	86	0	0	0	1144135
40559-3_R2_A4_R2_val_2.fq	1102943	54	0	0	0	1102997
40559-3_R2_A5_R2_val_2.fq	1948313	135	0	0	0	1948448
40559-3_R2_A6_R2_val_2.fq	1407338	72	0	0	0	1407410
40559-3_R2_A7_R2_val_2.fq	1472596	99	0	0	0	1472695
40559-3_R2_A8_R2_val_2.fq	2527595	124	0	0	0	2527719
40559-3_R2_A9_R2_val_2.fq	1238603	81	0	0	0	1238684
40559-3_R2_B10_R2_val_2.fq	2254047	117	0	0	0	2254164
40559-3_R2_B11_R2_val_2.fq	1038450	74	0	0	0	1038524
40559-3_R2_B12_R2_val_2.fq	1507030	72	0	0	0	1507102
40559-3_R2_B1_R2_val_2.fq	1115486	59	0	0	0	1115545
40559-3_R2_B2_R2_val_2.fq	749859	40	0	0	0	749899
40559-3_R2_B3_R2_val_2.fq	217211	17	0	0	0	217228
40559-3_R2_B4_R2_val_2.fq	2343131	123	0	0	0	2343254
40559-3_R2_B5_R2_val_2.fq	1596244	91	0	0	0	1596335
40559-3_R2_B6_R2_val_2.fq	2182804	120	0	0	0	2182924
40559-3_R2_B7_R2_val_2.fq	1142778	76	0	0	0	1142854
40559-3_R2_B8_R2_val_2.fq	1743571	103	0	0	0	1743674
40559-3_R2_B9_R2_val_2.fq	1071155	62	0	0	0	1071217
40559-3_R2_C10_R2_val_2.fq	720935	44	0	0	0	720979
40559-3_R2_C11_R2_val_2.fq	1685083	115	0	0	0	1685198
40559-3_R2_C12_R2_val_2.fq	1130640	61	0	0	0	1130701
40559-3_R2_C1_R2_val_2.fq	1488293	104	0	0	0	1488397
40559-3_R2_C2_R2_val_2.fq	815501	38	0	0	0	815539
40559-3_R2_C3_R2_val_2.fq	1440460	94	0	0	0	1440554
40559-3_R2_C4_R2_val_2.fq	1267419	64	0	0	0	1267483
40559-3_R2_C5_R2_val_2.fq	1147254	69	0	0	0	1147323
40559-3_R2_C6_R2_val_2.fq	1785918	101	0	0	0	1786019
40559-3_R2_C7_R2_val_2.fq	1178027	71	0	0	0	1178098
40559-3_R2_C8_R2_val_2.fq	1667348	89	0	0	0	1667437
40559-3_R2_C9_R2_val_2.fq	1255765	96	0	0	0	1255861
40559-3_R2_D10_R2_val_2.fq	2005237	98	0	0	0	2005335
40559-3_R2_D11_R2_val_2.fq	2116801	157	0	0	0	2116958
40559-3_R2_D12_R2_val_2.fq	2076561	95	0	0	0	2076656
40559-3_R2_D1_R2_val_2.fq	1024551	69	0	0	0	1024620
40559-3_R2_D2_R2_val_2.fq	1048661	51	0	0	0	1048712
40559-3_R2_D3_R2_val_2.fq	623048	40	0	0	0	623088
40559-3_R2_D4_R2_val_2.fq	1648646	101	0	0	0	1648747
40559-3_R2_D5_R2_val_2.fq	1329580	99	0	0	0	1329679
40559-3_R2_D6_R2_val_2.fq	933450	57	0	0	0	933507
40559-3_R2_D7_R2_val_2.fq	1568178	123	0	0	0	1568301
40559-3_R2_D8_R2_val_2.fq	2044317	114	0	0	0	2044431
40559-3_R2_D9_R2_val_2.fq	1552316	100	0	0	0	1552416
40559-3_R2_E10_R2_val_2.fq	1689768	79	0	0	0	1689847
40559-3_R2_E11_R2_val_2.fq	1279564	56	0	0	0	1279620
40559-3_R2_E12_R2_val_2.fq	1981164	95	0	0	0	1981259
40559-3_R2_E1_R2_val_2.fq	700668	43	0	0	0	700711
40559-3_R2_E2_R2_val_2.fq	732350	42	0	0	0	732392
40559-3_R2_E3_R2_val_2.fq	1141482	55	0	0	0	1141537
40559-3_R2_E4_R2_val_2.fq	1791036	93	0	0	0	1791129
40559-3_R2_E5_R2_val_2.fq	935973	56	0	0	0	936029
40559-3_R2_E6_R2_val_2.fq	1528122	79	0	0	0	1528201
40559-3_R2_E7_R2_val_2.fq	1179894	57	0	0	0	1179951
40559-3_R2_E8_R2_val_2.fq	1303090	73	0	0	0	1303163
40559-3_R2_E9_R2_val_2.fq	807575	29	0	0	0	807604
40559-3_R2_F10_R2_val_2.fq	895547	45	0	0	0	895592
40559-3_R2_F11_R2_val_2.fq	1044420	48	0	0	0	1044468
40559-3_R2_F12_R2_val_2.fq	68160	0	0	0	0	68160
40559-3_R2_F1_R2_val_2.fq	1429157	82	0	0	0	1429239
40559-3_R2_F2_R2_val_2.fq	1670532	98	0	0	0	1670630
40559-3_R2_F3_R2_val_2.fq	939265	48	0	0	0	939313
40559-3_R2_F4_R2_val_2.fq	1533267	89	0	0	0	1533356
40559-3_R2_F5_R2_val_2.fq	1137542	52	0	0	0	1137594
40559-3_R2_F6_R2_val_2.fq	1111978	61	0	0	0	1112039
40559-3_R2_F7_R2_val_2.fq	1174529	69	0	0	0	1174598
40559-3_R2_F8_R2_val_2.fq	1270600	68	0	0	0	1270668
40559-3_R2_F9_R2_val_2.fq	947871	56	0	0	0	947927
40559-3_R2_G10_R2_val_2.fq	1692492	84	0	0	0	1692576
40559-3_R2_G11_R2_val_2.fq	1176733	42	0	0	0	1176775
40559-3_R2_G12_R2_val_2.fq	1030842	62	0	0	0	1030904
40559-3_R2_G1_R2_val_2.fq	1215065	73	0	0	0	1215138
40559-3_R2_G2_R2_val_2.fq	813388	48	0	0	0	813436
40559-3_R2_G3_R2_val_2.fq	853406	63	0	0	0	853469
40559-3_R2_G4_R2_val_2.fq	1042952	63	0	0	0	1043015
40559-3_R2_G5_R2_val_2.fq	1493015	79	0	0	0	1493094
40559-3_R2_G6_R2_val_2.fq	1107169	51	0	0	0	1107220
40559-3_R2_G7_R2_val_2.fq	2385980	129	0	0	0	2386109
40559-3_R2_G8_R2_val_2.fq	2133186	115	0	0	0	2133301
40559-3_R2_G9_R2_val_2.fq	904608	43	0	0	0	904651
40559-3_R2_H10_R2_val_2.fq	661038	41	0	0	0	661079
40559-3_R2_H11_R2_val_2.fq	658106	44	0	0	0	658150
40559-3_R2_H1_R2_val_2.fq	490278	23	0	0	0	490301
40559-3_R2_H2_R2_val_2.fq	940464	49	0	0	0	940513
40559-3_R2_H3_R2_val_2.fq	1353458	67	0	0	0	1353525
40559-3_R2_H5_R2_val_2.fq	1159195	55	0	0	0	1159250
40559-3_R2_H6_R2_val_2.fq	989833	48	0	0	0	989881
40559-3_R2_H7_R2_val_2.fq	1100504	51	0	0	0	1100555
40559-3_R2_H8_R2_val_2.fq	1479178	66	0	0	0	1479244
40559-3_R2_H9_R2_val_2.fq	904268	61	0	0	0	904329

Total Sequences	242579894
Ambiguous Barcodes	0
Low Quality	25340
Trimmed Reads	0
Orphaned Paired-ends	0
Retained Reads	242554554
