# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
5	1679	1.62972	0.23322	0.00700	0.79224	0.04400	0.00304	0.28096	0.13514	0.00533	0.71904	0.13514	0.00533	0.24121	0.04989	0.00324	0.75879	0.04989	0.00324	0.35835	0.12494	0.00512	0.11608	0.13034	0.00700
47	682	1.00000	0.00000	0.00000	0.88625	0.04395	0.00338	0.22750	0.17579	0.00675	0.77250	0.17579	0.00675	0.11375	0.04395	0.00338	0.88625	0.04395	0.00338	0.22750	0.17579	0.00675	0.00000	0.00000	0.00000
39	701	1.00000	0.00000	0.00000	0.87751	0.04625	0.00347	0.24498	0.18501	0.00694	0.75502	0.18501	0.00694	0.12249	0.04625	0.00347	0.87751	0.04625	0.00347	0.24498	0.18501	0.00694	0.00000	0.00000	0.00000
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
5	1679	418740	4764	2617	0.62497	1.56960	0.24516	0.00077	0.99764	0.00099	0.00005	0.00320	0.00243	0.00008	0.99680	0.00243	0.00008	0.00274	0.00122	0.00005	0.99726	0.00122	0.00005	0.00408	0.00287	0.00008	0.00132	0.00163	0.00077
47	682	313316	3855	877	0.27991	1.00000	0.00000	0.00000	0.99860	0.00070	0.00005	0.00280	0.00279	0.00009	0.99720	0.00279	0.00009	0.00140	0.00070	0.00005	0.99860	0.00070	0.00005	0.00280	0.00279	0.00009	0.00000	0.00000	0.00000
39	701	341117	3837	940	0.27557	1.00000	0.00000	0.00000	0.99862	0.00069	0.00004	0.00276	0.00275	0.00009	0.99724	0.00275	0.00009	0.00138	0.00069	0.00004	0.99862	0.00069	0.00004	0.00276	0.00275	0.00009	0.00000	0.00000	0.00000
