# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	249	118.64001	676.00285	0.48797	0.92879	0.01024	0.00190	0.07885	0.01289	0.00213	0.92115	0.01289	0.00213	0.11179	0.01675	0.00243	0.88821	0.01675	0.00243	0.11228	0.01689	0.00244	0.28821	0.12814	0.48797
Rural	74	82.69109	363.17832	0.35767	0.92882	0.01071	0.00194	0.07881	0.01345	0.00218	0.92119	0.01345	0.00218	0.11081	0.01729	0.00247	0.88919	0.01729	0.00247	0.11151	0.01750	0.00248	0.26534	0.13624	0.35767
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	249	352769	2839	2765	0.78380	128.30622	575.35685	0.04039	0.99943	0.00012	0.00002	0.00063	0.00015	0.00002	0.99937	0.00015	0.00002	0.00090	0.00023	0.00003	0.99910	0.00023	0.00003	0.00090	0.00024	0.00003	0.00232	0.00169	0.04039
Rural	74	352769	2839	2590	0.73419	90.60756	293.96516	0.02887	0.99943	0.00013	0.00002	0.00063	0.00016	0.00002	0.99937	0.00016	0.00002	0.00089	0.00024	0.00003	0.99911	0.00024	0.00003	0.00090	0.00024	0.00003	0.00214	0.00166	0.02887
