"","Lon","Lat"
"200",-79.500382,43.661177
"201",-79.202519,44.051921
"202",-79.096966,43.864346
"203",-79.44687,43.830876
"204",-79.837702,43.484111
"205",-79.638468,43.589594
"206",-79.51854,43.799587
"207",-79.378727,43.74483
"208",-80.122253,43.416087
"209",-79.697509,43.675637
"210",-79.101391,44.0061
"211",-79.855547,43.668342
"212",-79.500382,43.661177
"213",-79.163005,43.972752
"214",-79.12825,43.848246
"215",-79.59178,43.782727
"216",-79.747541,43.493329
"217",-79.339394,43.696621
"218",-79.512796,43.762289
"219",-79.318052,43.73091
"220",-80.03383,43.442214
"221",-79.125122,43.959786
"222",-79.977056,43.687299
"223",-79.77922,43.516263
"224",-79.21199,43.860879
"225",-79.122167,43.809374
"226",-79.632628,43.747842
"227",-80.049313,43.321018
"228",-79.327437,43.678804
"229",-79.366888,43.685168
"230",-79.369021,43.776538
"231",-79.92699,43.283129
"232",-79.693242,43.710601
"233",-78.968182,43.968138
"234",-80.091581,43.684359
"235",-79.959704,43.343046
"236",-79.196185,43.840807
"237",-79.988265,43.942697
"238",-79.18972222,43.78348333
"239",-79.654062,43.550225
"240",-79.419649,43.667106
"241",-79.413726,43.913381
"242",-79.373594,43.847758
"243",-79.730097,43.395198
"244",-79.536769,43.600179
"245",-78.982515,43.871102
"246",-80.080908,43.782845
"247",-79.959704,43.343046
"248",-79.279555,43.897731
"249",-79.860387,43.967519
"250",-80.098407,43.349551
"251",-79.192428,43.756455
"252",-80.061819,43.261162
"253",-79.875741,43.836328
"254",-78.848928,43.980273
"255",-79.9813686,43.486539
"256",-80.08388,43.871554
