process_shortreads v2.62, executed 2023-02-13 17:54:50 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plate3_run2_fastq/ -o /home/breitba1/scratch/step03_clean/plate3_r2/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-3A_R1_G6_R1_val_1.fq	4296850	124	0	0	0	4296974
40559-3A_R1_G7_R1_val_1.fq	9091180	337	0	0	0	9091517
40559-3A_R1_G8_R1_val_1.fq	8084125	282	0	0	0	8084407
40559-3A_R1_G9_R1_val_1.fq	3448315	98	0	0	0	3448413
40559-3A_R1_H10_R1_val_1.fq	2541123	81	0	0	0	2541204
40559-3A_R1_H11_R1_val_1.fq	2503054	96	0	0	0	2503150
40559-3A_R1_H1_R1_val_1.fq	1872333	53	0	0	0	1872386
40559-3A_R1_H2_R1_val_1.fq	3647195	120	0	0	0	3647315
40559-3A_R1_H3_R1_val_1.fq	5115824	202	0	0	0	5116026
40559-3A_R1_H5_R1_val_1.fq	4513659	138	0	0	0	4513797
40559-3A_R1_H6_R1_val_1.fq	3787221	130	0	0	0	3787351
40559-3A_R1_H7_R1_val_1.fq	4137961	168	0	0	0	4138129
40559-3A_R1_H8_R1_val_1.fq	5628447	165	0	0	0	5628612
40559-3A_R1_H9_R1_val_1.fq	3438636	127	0	0	0	3438763
40559-3A_R2_A10_R2_val_2.fq	5422555	82	0	0	0	5422637
40559-3A_R2_A11_R2_val_2.fq	6037054	327	0	0	0	6037381
40559-3A_R2_A12_R2_val_2.fq	4737265	64	0	0	0	4737329
40559-3A_R2_A1_R2_val_2.fq	3808958	171	0	0	0	3809129
40559-3A_R2_A2_R2_val_2.fq	3330154	51	0	0	0	3330205
40559-3A_R2_A3_R2_val_2.fq	4361513	225	0	0	0	4361738
40559-3A_R2_A4_R2_val_2.fq	4241445	55	0	0	0	4241500
40559-3A_R2_A5_R2_val_2.fq	7537844	347	0	0	0	7538191
40559-3A_R2_A6_R2_val_2.fq	5434126	72	0	0	0	5434198
40559-3A_R2_A7_R2_val_2.fq	5604121	280	0	0	0	5604401
40559-3A_R2_A8_R2_val_2.fq	9736959	124	0	0	0	9737083
40559-3A_R2_A9_R2_val_2.fq	4782934	229	0	0	0	4783163
40559-3A_R2_B10_R2_val_2.fq	8801886	117	0	0	0	8802003
40559-3A_R2_B11_R2_val_2.fq	4020587	200	0	0	0	4020787
40559-3A_R2_B12_R2_val_2.fq	5863685	72	0	0	0	5863757
40559-3A_R2_B1_R2_val_2.fq	4358632	200	0	0	0	4358832
40559-3A_R2_B2_R2_val_2.fq	2899916	40	0	0	0	2899956
40559-3A_R2_B3_R2_val_2.fq	792254	33	0	0	0	792287
40559-3A_R2_B4_R2_val_2.fq	9075504	123	0	0	0	9075627
40559-3A_R2_B5_R2_val_2.fq	6256258	274	0	0	0	6256532
40559-3A_R2_B6_R2_val_2.fq	8440205	120	0	0	0	8440325
40559-3A_R2_B7_R2_val_2.fq	4343288	215	0	0	0	4343503
40559-3A_R2_B8_R2_val_2.fq	6610965	103	0	0	0	6611068
40559-3A_R2_B9_R2_val_2.fq	4143039	180	0	0	0	4143219
40559-3A_R2_C10_R2_val_2.fq	2785682	44	0	0	0	2785726
40559-3A_R2_C11_R2_val_2.fq	6568209	332	0	0	0	6568541
40559-3A_R2_C12_R2_val_2.fq	4384696	61	0	0	0	4384757
40559-3A_R2_C1_R2_val_2.fq	5762037	306	0	0	0	5762343
40559-3A_R2_C2_R2_val_2.fq	3127581	38	0	0	0	3127619
40559-3A_R2_C3_R2_val_2.fq	5542997	272	0	0	0	5543269
