# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	215	118.38909	670.08295	0.48885	0.92622	0.01045	0.00193	0.08205	0.01337	0.00218	0.91795	0.01337	0.00218	0.11577	0.01702	0.00246	0.88423	0.01702	0.00246	0.11627	0.01717	0.00247	0.29239	0.12821	0.48885
Rural	63	82.51783	359.01395	0.35782	0.92633	0.01091	0.00197	0.08191	0.01387	0.00222	0.91809	0.01387	0.00222	0.11468	0.01754	0.00250	0.88532	0.01754	0.00250	0.11540	0.01776	0.00252	0.27104	0.13745	0.35782
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	215	352769	2804	2741	0.77700	128.30657	575.31498	0.04038	0.99941	0.00013	0.00002	0.00065	0.00016	0.00002	0.99935	0.00016	0.00002	0.00092	0.00024	0.00003	0.99908	0.00024	0.00003	0.00092	0.00024	0.00003	0.00232	0.00169	0.04038
Rural	63	352769	2804	2589	0.73391	90.60795	293.93275	0.02887	0.99941	0.00013	0.00002	0.00065	0.00016	0.00002	0.99935	0.00016	0.00002	0.00091	0.00024	0.00003	0.99909	0.00024	0.00003	0.00092	0.00025	0.00003	0.00215	0.00167	0.02887
