# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
6	0	3.87911	1.33710	0.02601	0.85758	0.02618	0.00364	0.16062	0.05176	0.00512	0.83938	0.05176	0.00512	0.19194	0.03799	0.00438	0.80806	0.03799	0.00438	0.22319	0.05312	0.00518	0.12403	0.13807	0.02601
72	0	3.82012	1.51414	0.02774	0.86460	0.02726	0.00372	0.15692	0.05530	0.00530	0.84308	0.05530	0.00530	0.17965	0.03904	0.00445	0.82035	0.03904	0.00445	0.21049	0.05632	0.00535	0.10346	0.12547	0.02774
23	0	1.00000	0.00000	0.00000	0.91515	0.03525	0.00479	0.16970	0.14099	0.00957	0.83030	0.14099	0.00957	0.08485	0.03525	0.00479	0.91515	0.03525	0.00479	0.16970	0.14099	0.00957	0.00000	0.00000	0.00000
36	0	3.33028	0.73275	0.01930	0.86183	0.02798	0.00377	0.16955	0.06140	0.00559	0.83045	0.06140	0.00559	0.18223	0.03969	0.00449	0.81777	0.03969	0.00449	0.21691	0.05781	0.00542	0.08852	0.12103	0.01930
62	0	3.67447	1.65072	0.02898	0.86745	0.02574	0.00362	0.16579	0.05745	0.00541	0.83421	0.05745	0.00541	0.17851	0.03806	0.00440	0.82149	0.03806	0.00440	0.20960	0.05484	0.00528	0.08291	0.11534	0.02898
45	0	1.00000	0.00000	0.00000	0.90906	0.03722	0.00481	0.18187	0.14889	0.00961	0.81813	0.14889	0.00961	0.09094	0.03722	0.00481	0.90906	0.03722	0.00481	0.18187	0.14889	0.00961	0.00000	0.00000	0.00000
16	0	1.00000	0.00000	0.00000	0.91704	0.03463	0.00556	0.16592	0.13852	0.01112	0.83408	0.13852	0.01112	0.08296	0.03463	0.00556	0.91704	0.03463	0.00556	0.16592	0.13852	0.01112	0.00000	0.00000	0.00000
46	0	3.57582	1.78718	0.03026	0.87197	0.02768	0.00377	0.15365	0.05772	0.00544	0.84635	0.05772	0.00544	0.16793	0.03917	0.00448	0.83207	0.03917	0.00448	0.19855	0.05762	0.00543	0.08450	0.11259	0.03026
61	0	2.51437	0.48926	0.01585	0.88150	0.02935	0.00388	0.17334	0.08270	0.00652	0.82666	0.08270	0.00652	0.15024	0.03973	0.00452	0.84976	0.03973	0.00452	0.19185	0.06928	0.00596	0.03069	0.08197	0.01585
68	0	3.66444	1.73950	0.02987	0.87857	0.02612	0.00366	0.14741	0.05643	0.00538	0.85259	0.05643	0.00538	0.16115	0.03779	0.00440	0.83885	0.03779	0.00440	0.18960	0.05523	0.00532	0.08157	0.11239	0.02987
