# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	0	137.58890	171.91107	0.42033	0.82940	0.01507	0.00394	0.21133	0.02219	0.00478	0.78867	0.02219	0.00478	0.25287	0.01818	0.00432	0.74713	0.01818	0.00432	0.25380	0.01831	0.00434	0.19350	0.08250	0.42033
Rural	0	96.28469	99.63183	0.31999	0.82739	0.01581	0.00403	0.21627	0.02319	0.00488	0.78373	0.02319	0.00488	0.25403	0.01872	0.00439	0.74597	0.01872	0.00439	0.25536	0.01891	0.00441	0.18068	0.08577	0.31999
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Urban	0	259484	973	973	0.37497	140.93461	137.40297	0.02301	0.99936	0.00017	0.00003	0.00079	0.00025	0.00003	0.99921	0.00025	0.00003	0.00095	0.00031	0.00003	0.99905	0.00031	0.00003	0.00095	0.00031	0.00003	0.00073	0.00045	0.02301
Rural	0	259484	973	973	0.37497	99.62830	67.54013	0.01613	0.99935	0.00017	0.00003	0.00081	0.00026	0.00003	0.99919	0.00026	0.00003	0.00095	0.00031	0.00003	0.99905	0.00031	0.00003	0.00096	0.00031	0.00003	0.00068	0.00044	0.01613
